월,날짜,시간,온도
2,3,800,0.7
2,3,900,0
2,3,1000,0.3
2,3,1100,0.6
2,3,1200,0.1
2,3,1300,-1
2,3,1400,-0.4
2,3,1500,1.6
2,3,1600,1.5
2,3,1700,0
2,3,1800,-1.8
2,3,1900,-3.2
2,3,2000,-4.8
2,3,2100,-6.5
2,3,2200,-5.9
2,3,2300,-2.7
2,4,0,-2.5
2,4,100,-2.5
2,4,200,-1.3
2,4,300,-0.1
2,4,400,0
2,4,500,0
2,4,600,0.3
2,4,700,-0.5
2,4,800,-2.2
2,4,900,-3.4
2,4,1000,-5.1
2,4,1100,-5.4
2,4,1200,-5.6
2,4,1300,-6.2
2,4,1400,-6.3
2,4,1500,-6.5
2,4,1600,-6.2
2,4,1700,-6.3
2,4,1800,-5.9
2,4,1900,-5.4
2,4,2000,-5.4
2,4,2100,-6.5
2,4,2200,-5.4
2,4,2300,-3.2
2,5,0,0.3
2,5,100,3.3
2,5,200,5.2
2,5,300,6.3
2,5,400,7.6
2,5,500,7.6
2,5,600,7.2
2,5,700,6.5
2,5,800,3.9
2,5,900,2
2,5,1000,0.6
2,5,1100,2.3
2,5,1200,0.8
2,5,1300,-1.6
2,5,1400,-1.5
2,5,1500,-1.2
2,5,1600,2.4
2,5,1700,3.9
2,5,1800,4.1
2,5,1900,4.8
2,5,2000,4.8
2,5,2100,2.5
2,5,2200,4.8
2,5,2300,4.9
2,6,0,6.1
2,6,100,8.9
2,6,200,10
2,6,300,11.5
2,6,400,11.3
2,6,500,11.3
2,6,600,10.6
2,6,700,9.5
2,6,800,8.3
2,6,900,8.1
2,6,1000,8.1
2,6,1100,8.1
2,6,1200,8.5
2,6,1300,8.2
2,6,1400,7.7
2,6,1500,7.2
2,6,1600,6.6
2,6,1700,5.4
2,6,1800,5.5
2,6,1900,4.2
2,6,2000,3.4
2,6,2100,2.6
2,6,2200,2.9
2,6,2300,3.5
2,7,0,4.8
2,7,100,7.3
2,7,200,7
2,7,300,6.9
